Protein Complex,COGIDs,,,,,,,,,,,,,,,,,,,,,,,,,,,ECOLI Conservation Percent,ECOLI Protein IDs,MYCTU Conservation Percent,MYCTU Protein IDs,MYCLE Conservation Percent,MYCLE Protein IDs,BUCAI_APS Conservation Percent,BUCAI_APS Protein IDs,BUCAI_Cc Conservation Percent,BUCAI_Cc Protein IDs
pdxJ,COG0854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pbpC,COG4953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG2200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG2771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG2199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG2200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG2202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pdeR,COG2199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pdeR,COG2200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pdeR,COG2202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oppA,COG4166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gor,COG1949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
psiE,COG3223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prlC,COG0339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG2943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
can,COG2943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
osmY,COG2823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nupC,COG1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ompC,COG3203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG1882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG1882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pflD,COG1882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG1882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ybiW,COG1882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pepB,COG0260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rbfA,COG0858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pgpA,COG1267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phoE,COG3203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ybeZ,COG1702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rbsB,COG1879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ybiY,COG1180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pdxK,COG2240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pfkA,COG0205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG1235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phnP,COG1235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
narG,COG5013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pgm,COG0033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nhaA,COG3004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG2162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
potB,COG1176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nudL,COG0494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nuoA,COG0838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nikR,COG0864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG1185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pnp,COG1185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrfC,COG0437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrfD,COG3301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrfE,COG1138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pnuC,COG3201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yceF,COG0424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glnL,COG3852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rraB,COG3076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
slyB,COG3133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG1670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rimJ,COG1670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
satP,COG1584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rng,COG1530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lon,COG1884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lon,COG2185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rpe,COG0036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
slyA,COG1846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG1047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
slyD,COG1047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rnhB,COG0164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dsdA,COG3048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eco,COG5464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eco,COG5464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eco,COG5464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sdaA,COG1760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rpoB,COG0085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ribE,COG0054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rlmB,COG0566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recR,COG0353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eco,COG0353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rnt,COG0847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rodZ,COG1426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG1508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fur,COG0479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sdhB,COG0479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rpiA,COG0120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frr,COG0233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sapC,COG4171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanA,COG2949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sapB,COG4168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
secD,COG0342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
secY,COG0201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG2603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
serB,COG0560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG1932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frmB,COG0627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sdaC,COG0814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sdhA,COG1053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rpoA,COG0202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fic,COG3276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lon,COG3276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sfmD,COG3188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sgcC,COG3775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG3414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thiH,COG1060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fur,COG0301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fur,COG0607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yeiG,COG0627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sgbE,COG0235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsmH,COG0275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsxA,COG4657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rutA,COG2141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ruvC,COG0817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sbmA,COG1133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sbmC,COG3449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fur,COG0476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sad,COG1012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
secA,COG0653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
secG,COG1314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seqA,COG3057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
serA,COG0111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tap,COG0654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ubiJ,COG3165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG4106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tam,COG4106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tatA,COG1826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ubiD,COG0043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tap,COG0043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tabA,COG2731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fic,COG0590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ubiI,COG0654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tap,COG0654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tamB,COG2911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tam,COG2911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tsaE,COG0802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tyrS,COG0162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tsaD,COG0533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tar,COG2175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hsdM,COG0286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tatB,COG1826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tcdA,COG1179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tauC,COG0600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hsdR,COG4096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tauA,COG4521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thrS,COG0441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tamA,COG0729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tam,COG0729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tatC,COG0805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG1921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selA,COG1921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trxC,COG0526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
speB,COG0010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
speE,COG0421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spoT,COG0317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
secE,COG0690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lon,COG0269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG3623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trxA,COG0526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sohB,COG0616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sapA,COG4166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sapD,COG4170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
secF,COG0341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thiM,COG2145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sodA,COG0605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skp,COG2825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ychQ,COG3094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selD,COG0709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rseB,COG3026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsmG,COG0357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG2813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tar,COG4948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tar,COG1063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsxE,COG4660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsxG,COG4659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ruvA,COG0632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG3270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rpoS,COG0568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
slp,COG3065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
slt,COG0741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsxB,COG2878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsuA,COG1187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsxD,COG4658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lon,COG0778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fic,COG0732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rutG,COG2233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sapF,COG4167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ychA,COG2912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sppA,COG0616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spy,COG3678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thiC,COG0422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tig,COG0544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpx,COG2077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG1946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fur,COG2104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG2897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sseA,COG2897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tqsA,COG0628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
treF,COG1626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trkG,COG0168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG1720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
treC,COG0366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG2265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trmA,COG2265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trmL,COG0219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roxA,COG2850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rpoC,COG0086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG2265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rlmD,COG2265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rluA,COG0564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rluD,COG0564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rluB,COG1187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rppH,COG0494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG2933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rlmM,COG2933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG1092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rlmI,COG1092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rluC,COG0564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG2961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rlmJ,COG2961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eco,COG5464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lon,COG1024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rnr,COG0557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG3129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rlmF,COG3129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG2813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rlmG,COG2813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG1576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rlmH,COG1576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
can,COG0797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rlpA,COG0797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rluE,COG1187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG1092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
truD,COG0585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tar,COG1838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG2920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fur,COG2920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trpA,COG0159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
treA,COG1626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tsgA,COG0477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fur,COG0425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG1553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fur,COG1553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trpB,COG0133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trmJ,COG0565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metG,COG0073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metG,COG0143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gltX,COG0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tam,COG0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
argS,COG0018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
leuS,COG0495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glnS,COG0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tam,COG0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glyS,COG0751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG4123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lysS,COG1190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hisS,COG0124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rseA,COG3073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG1385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG2265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rlmC,COG2265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rnpA,COG0594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sodC,COG2032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsmB,COG0144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsmI,COG0313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rssB,COG0784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rstA,COG0745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rseC,COG3086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rseP,COG0750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rna,COG3719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG1595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rpoE,COG1595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG1758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsmA,COG0030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fic,COG0820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
can,COG0772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wzzE,COG3765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thiP,COG1178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG2755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
