P46133,ENOG4105CFC;COG2978;
P16525,ENOG4105KR1;ENOG410XSWR;
P60340,ENOG4105D0T;COG0130;
P0A9P4,ENOG4105C3M;COG0492;
P0A884,ENOG4105C0V;COG0207;
P0A6A0,ENOG4105CNK;COG0661;
P76055,ENOG4105CB3;COG0037;
P05847,ENOG4106DSS;COG1951;
P07650,ENOG4105CMW;COG0213;
P07023,ENOG4105EHE;COG0287;COG1605;
Q46821,ENOG4105C2W;COG2233;
P09836,ENOG4105CXY;COG2271;
P10905,ENOG4105E4X;COG1175;
P0A9W0,ENOG4105DW5;COG1349;
P39300,ENOG4105CP1;COG2220;
P0A927,ENOG4105DRB;COG3248;
P0AAD4,ENOG4105E0U;COG0814;
P0AG80,ENOG4105BZ7;COG1653;
P10906,ENOG4105EX2;COG0395;
P75728,ENOG4105EAK;COG0654;
P64599,ENOG4105XPQ;COG3154;
P45527,ENOG4105CFP;COG0826;
P42626,ENOG4105CEM;COG3681;
P0ADW3,ENOG4108W2Q;COG3105;
P45422,ENOG4105UMR;ENOG4111UFK;
P64624,ENOG4105WWK;COG2964;
P63389,ENOG4105C5H;COG0488;
P0AG27,ENOG4107YZP;COG0607;
Q2M7X4,ENOG4105T8A;ENOG4111WZH;
P23839,ENOG4105DSJ;COG1561;
P31435,ENOG4105CT4;COG2211;
P0A8Y5,ENOG410667J;COG0561;
P09996,ENOG4105VP5;COG3753;
P37671,ENOG4105J4Q;COG1414;
P32106,
P0A8C8,ENOG4105VAS;COG0759;
P31446,ENOG4106DRA;ENOG411212H;
P31471,ENOG4105DYC;COG2382;
P27848,ENOG4105DQF;COG0561;
P0ADM6,ENOG410657R;ENOG4112D5X;
P31463,ENOG4105G2Y;ENOG410XRYC;
P0A8K8,ENOG4107S2Z;COG1295;
P22787,ENOG4105C0P;COG0606;
P0ACM9,ENOG4108K85;COG2188;
P32134,ENOG4108KHF;ENOG410ZVGB;
P32135,ENOG4105R9B;ENOG410XQHZ;
P32160,ENOG4105EBK;ENOG410ZPNJ;
P0AF34,ENOG4108VTS;COG3152;
P0A8Y3,ENOG4105EJU;COG1011;
P56259,COG3692;
P39277,ENOG4105DVH;COG0531;
P0AF70,ENOG4108ZVF;ENOG4111NYT;
P39279,ENOG4105MTB;ENOG4111VQX;
P39283,ENOG4106V5W;ENOG410YPDD;
P39284,ENOG4106CG8;ENOG410XY97;
P39336,
P33222,ENOG4106032;COG0754;
P37772,ENOG41062B0;ENOG410XR1U;
P0AF76,ENOG4105FUX;COG3789;
P0AF78,ENOG4108P9J;COG1842;
P0DP21,
P0DP22,
P39389,ENOG4105C1I;COG1167;
P39357,ENOG4105C6Z;COG2610;
P39298,ENOG4108MXZ;COG1073;
P0AAL9,ENOG4105PI0;COG0727;
P39369,COG1112;
P75675,COG1690;
A5A605,
P75804,ENOG4105D8V;COG2133;
P0DPN6,
P76119,COG5433;
P76068,ENOG4108ES9;COG1475;
P0DPO3,
P0DPO4,
P75967,ENOG4106JA9;ENOG410YCU8;
P77739,ENOG4105FGM;COG3001;
P77783,ENOG4105C3J;COG1104;
P64496,ENOG4105YP6;ENOG41126SD;
C1P602,ENOG4106G4W;ENOG410Y5TS;
P0AA57,ENOG4105FXM;COG2372;
P0AD40,ENOG4105VRT;COG3530;
P0AD47,ENOG4108SB3;COG2259;
P77585,ENOG4105CN9;COG1363;
P77315,ENOG4105CNN;COG1172;
C1P610,
P77269,ENOG4105FCA;COG1879;
P76585,ENOG4107HQ7;ENOG410Z39P;
P76586,ENOG4108NZE;COG1940;
Q2EET2,ENOG4105XYK;ENOG41125PA;
P67603,ENOG4105N5Z;COG3097;
Q46943,ENOG4105FV3;ENOG4111RBZ;
P45423,ENOG4105DFS;COG4804;
P45424,ENOG4108R66;COG2731;
P64614,ENOG4105RID;ENOG4111Z93;
P45524,ENOG4105DNZ;COG0429;
P11290,ENOG4105K64;COG0463;
P0ADP2,ENOG4108VUY;COG2050;
A5A628,
P32685,ENOG4108ZR5;ENOG4111P78;
P32687,ENOG4108MDC;ENOG410XP91;
P32688,ENOG4108Q9C;ENOG4111E8R;
P32693,
P0AF56,ENOG41082ND;COG0790;
P32694,
P0AF48,ENOG4108YXI;COG0432;
P32717,ENOG4105EUZ;COG2015;
P39342,ENOG4105D7A;COG0433;
Q9Z3A0,
P39349,
P39270,ENOG4108R5S;COG3647;
P0AF82,ENOG4105S17;ENOG4111X9K;
P77252,ENOG4105CHG;COG0247;
P77536,ENOG4107QR9;COG1139;
P39360,ENOG4106P37;ENOG410XNU2;
P24203,ENOG4105CKI;COG0523;
Q46939,ENOG4105CHU;COG0183;
P0AE42,ENOG4105VPI;COG0401;
P0AA63,ENOG4106W5V;COG0586;
P42620,ENOG4105CHF;COG0435;
P45465,ENOG41082RQ;COG0792;
P45468,ENOG4107S21;COG0701;
P45469,ENOG4105K4T;COG0702;
P39314,ENOG4105DXC;ENOG410XR5C;
P0ACN2,ENOG4105KVH;COG1733;
P39317,
P39187,ENOG4108UUE;COG3054;
P0ADE2,ENOG41061GZ;ENOG4111TN3;
P0AE45,ENOG4105C37;COG1253;
P0AE48,ENOG4108ZHD;COG2105;
P39325,ENOG4107R5U;ENOG410XPC7;
Q6BEX0,ENOG4105C2J;COG1129;
A8DYQ1,
P36680,ENOG4105DHA;COG4582;
P0AF40,ENOG4108Y73;ENOG4111S45;
P27840,ENOG4108T58;COG3698;
P32690,COG1357;
P0AFJ1,ENOG4108Z8G;COG2824;
P39267,ENOG4108YIV;ENOG4111JPB;
P39351,
P39338,ENOG4108M3P;COG4269;
P77433,ENOG4108ZZK;COG1556;
P39367,ENOG4105DTA;ENOG410XQ9J;
P39368,ENOG41080VW;COG3153;
P39356,ENOG4105DKT;COG2390;
Q47719,
P77759,
P0AAS0,ENOG4105GSJ;ENOG4111PQG;
P0DPN4,
P0DPN9,
P0DPO1,
P0ACV8,ENOG4105N0E;ENOG4111W05;
Q2EER5,COG0702;
P75992,ENOG41077SS;ENOG410ZBUB;
P77658,
P76090,ENOG4108UMZ;COG0558;
C1P600,
P76148,ENOG4105M0C;ENOG4111UPV;
P77309,ENOG4105EGI;ENOG410XR3F;
P76227,ENOG4105MTM;ENOG4111UQ2;
P76173,ENOG4107KGK;COG3302;
P43531,ENOG4105D94;ENOG410XP8J;
P0DPP0,
P76257,ENOG4105DVT;COG1199;
P67601,ENOG4108NK4;COG4811;
P64542,ENOG4109076;ENOG4111T5E;
P76584,ENOG4108ZKT;COG2017;
V9HVX0,COG5464;
A0A385XJK5,
P64562,
C1P614,
P0DPP4,
P64596,ENOG4105W4M;COG2823;
P0DPP8,
P69506,ENOG4105FJH;COG2846;
Q2M5U1,
P25531,ENOG4105W5Q;COG2003;
P39383,ENOG4105CIZ;COG1924;
P39384,ENOG4105DCU;COG1775;
P39352,ENOG4105JHE;ENOG410XSSD;
P39353,ENOG4107RJ5;COG0673;
P39354,
P77601,
P39358,ENOG4105C01;COG0129;
P0ADD2,ENOG4107XM3;COG3610;
Q47688,ENOG4105EKQ;COG3344;
P75677,ENOG4106ZN7;ENOG410YVYF;
Q47685,ENOG4108XS9;COG2003;
P55914,ENOG4105YBH;ENOG41127TY;
A5A607,ENOG4106YSC;ENOG410XYTI;
P0DPN3,
P75977,
P75978,ENOG4105CAR;COG4626;
P0CB62,
C1P5Z9,
Q7DFV3,
P56614,ENOG4105XF5;COG3729;
P0DPN7,
P76208,ENOG4107PN8;ENOG410YJ19;
P77374,ENOG4107QY8;COG0243;
P64493,ENOG4105UCG;COG3042;
Q2MB16,ENOG4105TIK;ENOG41124K1;
C1P604,
P33366,ENOG4105KHU;COG0586;
P77509,ENOG4108F37;COG1129;
P76539,ENOG4108R6G;COG0456;
P0ADU7,ENOG4108SX3;COG3151;
P77306,ENOG4107S78;COG2268;
Q46856,ENOG4108I6A;COG1979;
P0DPP6,
P42616,ENOG4105WAY;ENOG41121W5;
Q46871,ENOG4105Q26;COG2375;
P64588,ENOG4105NTW;COG1695;
P42914,ENOG4108VCD;ENOG4111N65;
P58037,
P42915,ENOG4105CW0;COG3188;
P43319,ENOG4105I74;ENOG4111TBD;
P0A9W9,ENOG4108Z0R;COG0663;
P45795,ENOG4105SG3;ENOG4111VAC;
P76692,
P0ADK8,ENOG4108YYI;ENOG4111N40;
P11286,ENOG410688U;COG4682;
P31433,ENOG4105JV1;ENOG410XTE1;
P31453,ENOG4105FDP;COG2188;
P0ADM4,ENOG4105R2A;COG5645;
P0AFU6,ENOG41068KX;ENOG410XWG0;
P32151,ENOG4108V87;ENOG4111KWK;
P32139,ENOG4107WI4;COG2017;
P32162,ENOG41065TG;COG3691;
P27842,ENOG4105NRM;ENOG4111WY1;
P0AF50,ENOG4105MSB;COG2315;
P32680,ENOG4105R2J;COG3068;
P32703,ENOG4105EEQ;COG0025;
P32704,COG1357;
P0AF43,ENOG4105EAM;COG1283;
P0AF45,
P0ACU7,ENOG4108SIC;COG1309;
P18390,ENOG4105RI1;ENOG4111ZVK;
P0DPN1,
P0AD17,ENOG41069YE;ENOG4111H2T;
P0AEB7,ENOG4105M4H;COG0251;
P64490,ENOG4105V2F;ENOG4111Z3C;
P64517,ENOG4105VNZ;COG5475;
P64519,ENOG4105YX3;ENOG411261I;
P69348,ENOG4105KRQ;COG4115;
P0AA93,ENOG4108HRK;COG3275;
P0AE39,ENOG4105DY9;COG3279;
P77396,ENOG4108CIP;ENOG410XTD9;
P64429,ENOG4105CGZ;COG2321;
P77360,ENOG4105CPQ;COG1063;
P76524,ENOG4105DC7;COG0006;
O32528,
Q2EET0,
P0ADR0,ENOG4105W39;COG1238;
P67153,ENOG4108UT2;COG1272;
P77031,ENOG4108ITV;ENOG410Y8F9;
P0ADJ8,ENOG4108Z12;COG4682;
P0AGM2,ENOG4105EN6;COG2860;
P0ADL3,ENOG4108SAJ;ENOG4111H7S;
P0ACA1,ENOG4108U78;COG0625;
P31447,ENOG4105CBG;COG3119;
P31448,ENOG4107RUZ;COG4146;
P31449,ENOG4108AHD;ENOG410ZPV3;
P09162,ENOG41062WK;ENOG4112C2G;
P09163,ENOG4105K5X;COG0454;
P32700,ENOG4105PMV;ENOG4111X06;
P32689,ENOG4105E3R;ENOG410XQV2;
P39308,
P68206,ENOG4105VDW;COG3237;
P37342,ENOG4105G0K;ENOG410XNMQ;
P39410,ENOG4105EUP;ENOG410XRIH;
P0ADD5,ENOG4105DWK;COG2966;
P39385,ENOG4106BRA;COG2733;
P39293,ENOG4107VNS;ENOG410ZH1C;
P0AF80,ENOG4105Z6B;COG3766;
P39295,ENOG4108KXT;COG5463;
P0ADC8,ENOG4105VCD;COG2879;
P77180,
Q79E92,COG2963;
P0DPN2,
P60632,ENOG4105VAW;COG1380;
P0AEC0,ENOG4105EE5;COG0861;COG1253;
P76356,COG1629;
Q2EES3,COG4917;
C1P606,
P76561,ENOG4106KED;COG0400;
A5A621,
P64570,
P76559,ENOG4108PVD;ENOG410ZMG7;
P11291,
P46879,
Q46809,ENOG4105MJ6;ENOG4111VFN;
P65367,ENOG4105QDK;COG0716;
Q46919,ENOG4105WP7;COG3098;
P76655,
P77616,ENOG4108TTM;ENOG4111FN8;
P76656,ENOG4108MY7;ENOG4110VJC;
P76657,ENOG4105PV3;ENOG4111XIY;
Q46855,ENOG4105CF7;ENOG410XRKV;
P65298,COG4238;
P64585,ENOG41090KG;COG5393;
P0A8Z7,ENOG4105IPS;COG3150;
Q47710,ENOG4105YJD;ENOG41122JM;
A5A630,ENOG4106833;ENOG410XV8F;
P0ADS2,ENOG4107YUN;COG3027;
P63340,ENOG4108MHD;COG0814;
Q46831,ENOG4108UQV;COG1811;
C1P612,
P42913,ENOG4105Q10;ENOG4111VA0;
P56256,ENOG4108XIB;COG1142;
C1P620,ENOG4106FIY;ENOG410XVNE;
P39328,ENOG4107R9N;ENOG410XPE9;
P32677,ENOG4106R3P;ENOG410YHRH;
P27836,ENOG4108UHC;COG1922;
P52143,ENOG4108MGN;ENOG4110GG4;
P76612,
P76613,
P64432,ENOG4106KVJ;COG4137;
Q46953,ENOG4108X3P;ENOG4111PBJ;
P58095,
P58033,
P52134,
Q2EES6,
P0AC78,ENOG4105ESV;COG0472;
P71239,ENOG4105ECJ;COG0463;
P76012,
P39165,ENOG4105ID0;ENOG410XSN7;
P76010,ENOG4108T7K;COG5581;
P21365,ENOG4108S3I;ENOG410XRTM;
P11664,ENOG4107Z1W;COG1072;
P46142,ENOG4106MH3;ENOG410Y9EZ;
P0ADU2,ENOG4105VRH;COG1359;
P63417,ENOG4108YYD;COG3153;
P0ADW6,ENOG4105N5T;COG1242;
P37691,ENOG4105PXI;COG2861;
P0A9V5,ENOG4105MVF;COG2944;
P0ADK4,ENOG4105KK7;ENOG4111U7F;
P60872,ENOG4105D0C;COG2985;
P31443,ENOG4105J13;COG0641;
P0ADL6,ENOG4105JP4;ENOG4111NSM;
P0ADM0,ENOG4105VG5;COG2149;
P31475,ENOG4107EJG;COG2186;
P31455,ENOG4105D99;ENOG410XQ17;
P27862,ENOG4108ZK7;COG1739;
P0ADM8,ENOG4105E8Q;COG2091;
P0ADQ2,ENOG4105SUU;ENOG41126DB;
P0ADQ5,
P0ADN2,ENOG4108WFC;COG3085;
P27837,ENOG4105C85;COG1113;
P0A8H6,ENOG4105ZR3;COG3078;
P32136,ENOG4105CT4;COG2211;
P32137,ENOG4105CT4;COG2211;
P32157,ENOG4108RPX;COG2258;
C1P5Z8,
P75704,
P75678,ENOG4108MXD;COG3596;
P39374,
P39409,ENOG41076CZ;COG1180;
P77688,
P77129,ENOG4107REC;ENOG410XPNV;
P0AAS5,ENOG4105G5A;ENOG4111STC;
P75982,ENOG4105Y0G;COG3778;
P75979,
P09154,
P58034,
P0AEB5,ENOG4105D64;COG0668;
P64445,ENOG4105S5I;ENOG41120VM;
P76092,ENOG4105E8V;COG2267;
P76150,
P75962,
P75968,ENOG4106J3D;ENOG410Y9BP;
P76157,ENOG4106IAW;ENOG410Y031;
Q2EES0,ENOG4106YSC;ENOG410XYTI;
P0DPP1,
P0DPC9,
P0DPO9,
Q46941,ENOG4105ISV;ENOG4111PDN;
Q46942,ENOG4108TC1;COG3710;
P77136,
P64636,ENOG4107Y3D;COG1011;
P46856,
P0DN74,
P0DPC4,
P0DPC5,
P75862,ENOG4108T7E;ENOG410YF51;
P0DPP7,
P67244,ENOG4108TEB;COG2862;
Q46858,ENOG4105ZKC;ENOG411283I;
P64581,ENOG4105NE1;COG4575;
P42619,ENOG4108VBZ;COG2259;
P46857,ENOG4106FA4;ENOG410Y58G;
P45394,ENOG4105FEU;COG0530;
P64610,ENOG4108NIH;ENOG410ZFFS;
C1P618,
P45771,ENOG4108WI1;COG0551;
Q2M7M3,ENOG4105RGS;ENOG4111X9P;
P39309,ENOG4111WFN;
P39310,ENOG4105FHY;COG3061;
P14375,ENOG4105C1W;COG2204;
P0AC51,ENOG4105MYN;COG0735;
P0AAA9,ENOG4105JBU;COG3678;
P0ADK0,ENOG4106JH6;ENOG410YECY;
P0DPO0,
P75976,ENOG4108S1U;ENOG4111I1P;
P76073,ENOG4105W3V;ENOG411246H;
P76117,ENOG4108N27;COG0625;
P76118,
A5A611,
P0DPN8,
P76138,
P67553,ENOG4105D69;ENOG410XPJF;
P76226,ENOG4108T9J;COG0558;
P76172,ENOG4105KBG;ENOG41125YI;
P76170,ENOG4105M5Q;ENOG4111VZ1;
P0AAJ1,ENOG4105QAX;COG0437;
P77559,ENOG4106NZI;ENOG410YGF0;
P0DPO8,
P0DPP2,
P67338,ENOG4105X5C;COG3140;
P64508,
P76280,ENOG4108YGA;COG0388;
P76239,
Q46808,ENOG4107P0T;COG1975;
P64567,
P77173,ENOG4107NPY;COG3115;
P76344,ENOG4108MEK;COG3443;
P14377,ENOG4105BZU;ENOG410XNMH;
P0A8H3,ENOG4105DUN;COG0428;
P08245,ENOG4108ZJT;COG0023;
P0AB55,ENOG4105K9H;COG2350;
P37903,ENOG4108RW8;COG0589;
P0A8A0,ENOG4105CDY;COG0217;
P33219,ENOG4105RSZ;ENOG411244I;
P0ACY9,ENOG4105X2V;COG3141;
P64521,
P64526,
P76369,ENOG4105EQ1;ENOG410XP36;
P0AD12,ENOG4107SRH;COG0451;
P69346,ENOG4105VTW;COG2161;
P76403,ENOG4105CFP;COG0826;
P76406,ENOG41076Z6;ENOG410Z8AA;
P76417,ENOG4105EAA;ENOG410ZVFU;
P76418,ENOG4108KD5;COG1397;
P33340,ENOG410662B;ENOG410XTMS;
P33341,ENOG4105CW0;COG3188;
P33342,ENOG4108MQF;COG3121;
P33362,ENOG4107SI7;COG1732;
P25747,ENOG4105DHF;COG2311;
P0AFU0,ENOG4108I5X;COG4174;
P33915,ENOG4108IYQ;COG4239;
P33916,ENOG4108JQ5;COG4172;
P0AD21,ENOG4105HG6;ENOG4111NQ2;
P76466,ENOG4108QJJ;COG3234;
P76471,ENOG4108UII;ENOG4111KP3;
P76481,ENOG4105CP2;COG2304;
P76482,ENOG4107VAM;COG2234;
P76483,ENOG4105GDX;ENOG4111J8J;
P76484,ENOG4105ZD8;ENOG41125P6;
P76485,ENOG4106EES;ENOG410Y5EM;
P76486,ENOG4106HDC;ENOG410Y787;
P0AFU2,ENOG4107QWE;COG0471;
P0A8W8,ENOG4105XWI;COG3013;
P0A8D9,ENOG4105PQ6;COG3092;
P52060,ENOG4105VZ9;COG1872;
P52062,ENOG4105CSA;COG0635;
Q46834,ENOG4108XKW;COG3031;
Q46835,ENOG410765S;ENOG410Z3FE;
Q46840,
P64572,ENOG4106FPV;ENOG410XRBC;
Q46845,ENOG4105CYM;COG0625;
P64574,ENOG410900S;ENOG4111S6B;
Q7DFU6,
Q46863,ENOG4108J59;COG4166;
Q46866,ENOG4105F4I;COG3449;
P0ADU5,ENOG4105H4F;COG3111;
Q46867,ENOG4107DEU;ENOG410Z1FQ;
P42589,ENOG4108Y51;COG0073;
P42590,ENOG4105E5D;COG0531;
P42591,ENOG4107W6W;ENOG410ZFY9;
P0ADX7,ENOG4105WC8;ENOG411273Y;
P0AGH1,ENOG4105CMI;COG0842;
P0ADI9,ENOG4107FS9;COG3714;
P37648,ENOG4105CS0;COG0612;
P0ADJ3,ENOG410661M;ENOG41127QD;
P37663,ENOG4105EAX;COG5571;
P0ADN0,ENOG4105EV2;COG2425;
P75970,ENOG4105QYW;ENOG4111ZDC;
A5A619,
P76345,ENOG4108VKM;COG3038;
P61517,ENOG41077A9;COG0288;
P0A6F1,ENOG4105C1M;COG0505;
Q46897,ENOG4108Y7V;ENOG410ZWC5;
P21179,ENOG4105CH6;COG0753;
P39206,ENOG4108Z0R;COG0663;
P45956,ENOG4105PWE;ENOG4111VHR;
P00968,ENOG4105CU6;COG0458;
P76364,ENOG4105MAW;ENOG4111V4B;
P52106,ENOG41086KC;COG2771;
P06609,ENOG4108ESU;COG4139;
P0A9H5,ENOG41068B1;COG2109;
P31551,ENOG4106YT9;COG1024;
Q46896,ENOG4105TZK;COG1518;
Q46898,ENOG4108VWQ;ENOG4111JEJ;
P12999,ENOG410626R;COG0500;
P0AEA2,ENOG4105P8Q;COG1462;
P39297,ENOG4105WSB;ENOG41123U1;
P06611,ENOG41080WI;COG4138;
P60584,ENOG4105C1G;COG1960;
P0ABE5,ENOG4105CPW;COG3038;
P0A6L2,ENOG4105CDP;COG0329;
P31552,ENOG4105CEY;COG0318;
P16703,ENOG4105C6T;COG0031;
P0AAE8,ENOG4105D5Q;COG0531;
P23890,ENOG4108M3R;COG3710;
P0AE58,ENOG4108XNW;ENOG4111I8M;
P31553,ENOG4105C94;COG1292;
P38036,ENOG4105DTT;COG1203;
P0AAF3,ENOG4105C2J;COG1129;
P0AE52,ENOG4108YXY;COG1225;
P37657,ENOG4105U74;ENOG410ZIFY;
P0ADJ5,ENOG4105WQA;ENOG41123GA;
P17445,ENOG4105C26;COG1012;
P13001,ENOG4105D3C;COG0596;
P56976,ENOG4106C6R;ENOG410Y1ZA;
Q47083,ENOG4107R11;ENOG410XP61;
P36659,ENOG4105DVC;COG2214;
P0ABL8,ENOG4105CA5;COG2386;
P69490,ENOG4108ZKK;COG2332;
Q46899,ENOG41060M0;ENOG410Y6PV;
P0ABM1,ENOG41060IM;COG0755;
P37047,ENOG4108IXP;COG3835;
P63264,ENOG4108ZKH;ENOG411205W;
P06282,ENOG4105EAF;COG2134;
P31456,ENOG4107WAP;COG0644;
P33931,ENOG4107EV4;COG4133;
P31468,ENOG4106HGK;ENOG410Y18Y;
P0AD01,ENOG4108MRH;COG4565;
P0AEC8,ENOG4105CEQ;COG3290;
P76236,ENOG4106KTS;COG2199;
P00864,ENOG4105CCA;COG2352;
P64524,
P31469,ENOG4106611;COG3196;
P0A978,ENOG4105VEQ;COG1278;
P0A9R2,ENOG4105QFS;ENOG4111XDG;
P77237,ENOG4105QFS;ENOG4111XDG;
P56100,COG4890;
P0ABK2,ENOG4105CFY;COG1294;
P23886,ENOG4108JJ8;COG4987;
P17583,ENOG4105DJ2;COG2807;
P13518,ENOG41062P1;ENOG410XSQH;
P76113,ENOG4105CJH;COG2130;
P0AEA8,ENOG4105CB8;COG0007;COG1648;
P0A9D4,ENOG4105D7W;COG1045;
P17846,ENOG4105ET1;COG0155;
P0ABK5,ENOG4105C6T;COG0031;
P08506,ENOG4105DZ1;COG1686;
P04036,ENOG4105DUK;COG0289;
P0AGF2,ENOG4105P9C;COG2166;
P32144,ENOG4105E98;COG1349;
P0ACC3,ENOG4108YX9;COG0316;
P0A976,COG1278;
P0A968,ENOG4105VEQ;COG1278;
P0A9X9,COG1278;
P0A986,ENOG4105VEQ;COG1278;
P36649,ENOG4105E3B;COG2132;
P0ABJ9,ENOG4105C4M;COG1271;
P29018,ENOG4108JJ9;COG4988;
P27111,ENOG4105DND;ENOG410YUCG;
P00816,ENOG4108V7B;COG1513;
P0ABI8,ENOG4105BZ9;COG0843;
P0ABJ3,ENOG4105CCU;COG1845;
P17854,ENOG4105ET3;COG0175;
P0ACJ8,COG0664;
P21156,ENOG4105C11;COG0175;
P24251,ENOG4108UVK;ENOG4111IQF;
P0ABE9,ENOG4107B2H;COG0288;
P16700,ENOG4108J2H;COG4150;
P0AEB0,ENOG4105ECW;COG4208;
Q46925,ENOG4105C9B;COG0520;
P0A972,COG1278;
P54901,ENOG4108MN2;COG3711;
P69913,COG1551;
P15078,ENOG4105D22;COG1966;
P0A9G4,ENOG4108Z6Z;COG0789;
P22255,ENOG4108RNI;COG1218;
P0AED7,ENOG4105C9Y;COG0624;
P0A6J5,ENOG4105MWK;COG0665;
P00861,ENOG4105CU5;COG0019;
P0A830,ENOG4105CK2;COG1301;
P0A6J1,ENOG4107UCJ;COG0529;
P38038,ENOG4107EER;COG0369;
P0ACN7,ENOG4105ETE;COG1609;
P16701,ENOG4108I5D;COG0555;
P0A9D8,ENOG4105DMJ;COG2171;
Q46901,ENOG4105CYR;ENOG410XPCD;
P28307,ENOG4105G76;ENOG4111QFZ;
P69488,ENOG4105VF7;COG1324;
P12998,ENOG4107EEK;COG0156;
P0ABE2,ENOG4105M85;COG0271;
P77330,ENOG4105QYK;ENOG4111UF1;
P0AFT5,ENOG4108NEV;COG3279;
P31572,ENOG4105C04;COG1804;
P0A6E9,ENOG4105EWW;COG0132;
P12996,ENOG4105CZF;COG0502;
P0AE98,ENOG4108WYR;ENOG4111JSD;
P06610,ENOG4108V06;COG0386;
P75925,ENOG4105DS1;COG3038;
P75990,ENOG4105BZU;ENOG410XNMH;
P75989,ENOG4108XDN;COG0789;
P0AD14,ENOG4108HRK;COG3275;
P0AE95,ENOG4108XDW;ENOG4111JH9;
P0AB33,ENOG4105PVA;ENOG4111V92;
P06129,ENOG4105CHI;COG4206;
P37028,ENOG4105JKQ;COG0614;
P12995,ENOG4108JPX;COG0161;
P62672,ENOG4105NWN;COG2967;
P0AF08,ENOG4105D1F;COG0489;
P0AAE5,ENOG4105D5Q;COG0531;
P0A6D0,ENOG410682Y;COG1438;
P13016,ENOG4108VBV;COG3023;
P77570,ENOG4105ED7;COG2377;
P69503,ENOG4109003;COG0503;
P0AE26,ENOG4105CNN;COG1172;
P0AE24,ENOG4107QNK;ENOG410XNQK;
P0AE22,ENOG4105F0S;COG3700;
P0AEC3,ENOG4105BZU;COG0642;COG0784;COG2198;
P37306,ENOG4105C5B;COG0549;
P28861,ENOG4105DP0;COG1018;
P0ACF4,ENOG4105K70;COG0776;
P0A9R4,ENOG4108ZIT;COG0633;
P76316,ENOG4105K6H;COG2515;
P0A6K3,ENOG4108Z02;COG0242;
P0A6K6,ENOG4105CZG;COG1015;
P24228,ENOG4106HRJ;COG2027;
P0ACF0,ENOG4105K70;COG0776;
P21693,ENOG4105C1J;COG0513;
P77790,ENOG4108UQS;COG2173;
P0ACJ5,ENOG4108XM1;COG1522;
P69908,ENOG4105CVK;COG0076;
P0AFR2,ENOG4105CHH;COG0659;
P0A6K1,ENOG4105E4Z;COG0253;
P64638,ENOG4105RJD;ENOG411247E;
P24171,ENOG4105DGW;COG0339;
P0ABN5,ENOG4105DS2;COG2704;
P0ABP3,ENOG4105CEE;COG3069;
P45428,ENOG4105CEE;COG3069;
P0AED9,ENOG4105DVF;COG0270;
P37195,COG2771;
P0ABN9,ENOG4105DS2;COG2704;
P0AEA5,ENOG4105F1R;COG0109;
P23845,ENOG4105C3T;COG2895;
P29680,ENOG4105CFZ;COG0407;
P0ABJ6,ENOG41090KH;COG3125;
P0ABJ1,ENOG4105E2S;COG1622;
P0A9F3,ENOG4107R11;ENOG410XP61;
P16676,ENOG4108IJ6;COG1118;
P33013,ENOG4105DZ1;COG1686;
P69910,ENOG4105CVK;COG0076;
P0AEB2,ENOG4105DZ1;COG1686;
P52095,ENOG4105CXN;COG1982;
P0A6J3,ENOG4105EXN;COG2981;
P24169,ENOG4105CXN;COG1982;
P11557,ENOG4105EGB;COG3266;
P0ABP6,ENOG4105DQR;COG0586;
P0AEE3,ENOG4105C0H;COG0265;
P46482,ENOG4105Y49;COG1566;
P11071,ENOG4105VS7;COG4579;
P30871,ENOG4105I7R;COG3025;
P76491,ENOG4105DK2;COG1896;
P24224,ENOG4105KJV;COG0736;
P0AE06,ENOG4105C1P;ENOG410XNVN;
P25516,ENOG4107QM5;COG1048;
P0A9Q5,ENOG4108IDZ;COG0777;
P24177,ENOG4105BZS;COG0841;
P76052,ENOG4107RT5;COG1473;
P24182,ENOG4105CER;COG0439;
P76578,ENOG4105DN3;COG2373;
P77580,ENOG4105DIV;COG4569;
P0A9G6,ENOG4108I9X;COG2224;
P0CK95,ENOG4105F88;ENOG410XS21;
P21515,ENOG4108ZYK;COG3124;
P32705,ENOG4107QN1;COG4147;
P26646,ENOG4105D3Z;COG0604;
P69054,ENOG4108UTY;COG2009;
P18776,ENOG4105QAX;COG0437;
P18777,ENOG4107KGK;COG3302;
P11553,ENOG4105CMG;COG1070;
P0AEN8,ENOG4105NWF;COG4154;
P0A9S1,ENOG4105C0A;COG1454;
P11551,ENOG4105EDR;COG0738;
P0ACK8,ENOG4107EDW;COG1349;
P0AC33,ENOG4107GFK;COG1838;COG1951;
P14407,ENOG4107GFK;COG1838;COG1951;
P05042,ENOG4105C9Q;COG0114;
P0ACX5,ENOG4105RFR;ENOG4111YPS;
P11663,ENOG4108R4K;COG3722;
P0A9A9,ENOG41090R7;COG0735;
P77308,ENOG4105CJM;COG0601;
P77463,ENOG4105C2T;COG1173;
P77268,ENOG4105C3U;COG0444;
P42628,ENOG4105C44;COG0814;
P07862,ENOG4105CPF;COG1181;
P77622,ENOG4107H6U;COG1124;
P31459,ENOG4105EI3;COG3734;
Q6BF16,ENOG4108RTU;COG0800;
P21169,ENOG4105CXN;COG1982;
P0A9P6,ENOG4105C1J;COG0513;
P31129,ENOG4105FSR;COG2199;
